Function,Accuracy,Time_s,Memory_KB,Complexity,Maintainability,Pylint_Score
task0,1.0,6.120000034570694e-05,0.0703125,3,72.43195764141169,10.0
task0ai,1.0,9.169999975711109e-05,0.3671875,1,81.12095583420833,10.0
task1,1.0,5.589999636868015e-05,0.015625,4,63.60438025262003,10.0
task1ai,1.0,0.0001871999993454,0.109375,5,69.45359727127601,10.0
task2,1.0,0.0001603999990038,0.109375,4,68.90307892787627,10.0
task2ai,1.0,0.0001959000001079,0.109375,4,68.90307892787627,10.0
task3,1.0,0.0490431785583496,5343.8623046875,1,72.40724958418757,10.0
task3ai,1.0,0.0695297718048095,5343.9501953125,1,100.0,10.0
task4,1.0,4.267692565917969e-05,0.25,3,65.72734233911126,10.0
task4ai,1.0,8.225440979003906e-05,0.296875,3,68.75825154615833,10.0
